,number_of_a,number_of_b,number_of_used_a,number_of_used_b,status,Total cost
718,14,18,13,0,Optimal,1198540
719,14,19,13,0,Optimal,1198540
720,14,20,13,0,Optimal,1198540
721,14,21,13,0,Optimal,1198540
722,14,22,13,0,Optimal,1198540
723,14,23,13,0,Optimal,1198540
724,14,24,13,0,Optimal,1198540
725,14,25,13,0,Optimal,1198540
726,14,26,13,0,Optimal,1198540
727,14,27,13,0,Optimal,1198540
728,14,28,13,0,Optimal,1198540
729,14,29,13,0,Optimal,1198540
730,14,30,13,0,Optimal,1198540
731,14,31,13,0,Optimal,1198540
732,14,32,13,0,Optimal,1198540
733,14,33,13,0,Optimal,1198540
734,14,34,13,0,Optimal,1198540
735,14,35,13,0,Optimal,1198540
736,14,36,13,0,Optimal,1198540
737,14,37,13,0,Optimal,1198540
738,14,38,13,0,Optimal,1198540
739,14,39,13,0,Optimal,1198540
740,14,40,13,0,Optimal,1198540
741,14,41,13,0,Optimal,1198540
742,14,42,13,0,Optimal,1198540
743,14,43,13,0,Optimal,1198540
744,14,44,13,0,Optimal,1198540
745,14,45,13,0,Optimal,1198540
746,14,46,13,0,Optimal,1198540
747,14,47,13,0,Optimal,1198540
748,14,48,13,0,Optimal,1198540
749,14,49,13,0,Optimal,1198540
750,15,0,13,0,Optimal,1198540
751,15,1,13,0,Optimal,1198540
752,15,2,13,0,Optimal,1198540
753,15,3,13,0,Optimal,1198540
754,15,4,13,0,Optimal,1198540
755,15,5,13,0,Optimal,1198540
756,15,6,13,0,Optimal,1198540
757,15,7,13,0,Optimal,1198540
758,15,8,13,0,Optimal,1198540
759,15,9,13,0,Optimal,1198540
760,15,10,13,0,Optimal,1198540
761,15,11,13,0,Optimal,1198540
762,15,12,13,0,Optimal,1198540
763,15,13,13,0,Optimal,1198540
764,15,14,13,0,Optimal,1198540
765,15,15,13,0,Optimal,1198540
766,15,16,13,0,Optimal,1198540
767,15,17,13,0,Optimal,1198540
768,15,18,13,0,Optimal,1198540
769,15,19,13,0,Optimal,1198540
770,15,20,13,0,Optimal,1198540
771,15,21,13,0,Optimal,1198540
772,15,22,13,0,Optimal,1198540
773,15,23,13,0,Optimal,1198540
774,15,24,13,0,Optimal,1198540
775,15,25,13,0,Optimal,1198540
776,15,26,13,0,Optimal,1198540
777,15,27,13,0,Optimal,1198540
778,15,28,13,0,Optimal,1198540
779,15,29,13,0,Optimal,1198540
780,15,30,13,0,Optimal,1198540
781,15,31,13,0,Optimal,1198540
782,15,32,13,0,Optimal,1198540
783,15,33,13,0,Optimal,1198540
784,15,34,13,0,Optimal,1198540
785,15,35,13,0,Optimal,1198540
786,15,36,13,0,Optimal,1198540
787,15,37,13,0,Optimal,1198540
788,15,38,13,0,Optimal,1198540
789,15,39,13,0,Optimal,1198540
790,15,40,13,0,Optimal,1198540
791,15,41,13,0,Optimal,1198540
792,15,42,13,0,Optimal,1198540
793,15,43,13,0,Optimal,1198540
794,15,44,13,0,Optimal,1198540
795,15,45,13,0,Optimal,1198540
796,15,46,13,0,Optimal,1198540
797,15,47,13,0,Optimal,1198540
798,15,48,13,0,Optimal,1198540
799,15,49,13,0,Optimal,1198540
800,16,0,13,0,Optimal,1198540
801,16,1,13,0,Optimal,1198540
802,16,2,13,0,Optimal,1198540
803,16,3,13,0,Optimal,1198540
804,16,4,13,0,Optimal,1198540
805,16,5,13,0,Optimal,1198540
806,16,6,13,0,Optimal,1198540
807,16,7,13,0,Optimal,1198540
808,16,8,13,0,Optimal,1198540
809,16,9,13,0,Optimal,1198540
810,16,10,13,0,Optimal,1198540
811,16,11,13,0,Optimal,1198540
812,16,12,13,0,Optimal,1198540
813,16,13,13,0,Optimal,1198540
814,16,14,13,0,Optimal,1198540
815,16,15,13,0,Optimal,1198540
816,16,16,13,0,Optimal,1198540
817,16,17,13,0,Optimal,1198540
818,16,18,13,0,Optimal,1198540
819,16,19,13,0,Optimal,1198540
820,16,20,13,0,Optimal,1198540
821,16,21,13,0,Optimal,1198540
822,16,22,13,0,Optimal,1198540
823,16,23,13,0,Optimal,1198540
824,16,24,13,0,Optimal,1198540
825,16,25,13,0,Optimal,1198540
826,16,26,13,0,Optimal,1198540
827,16,27,13,0,Optimal,1198540
828,16,28,13,0,Optimal,1198540
829,16,29,13,0,Optimal,1198540
830,16,30,13,0,Optimal,1198540
831,16,31,13,0,Optimal,1198540
832,16,32,13,0,Optimal,1198540
833,16,33,13,0,Optimal,1198540
834,16,34,13,0,Optimal,1198540
835,16,35,13,0,Optimal,1198540
836,16,36,13,0,Optimal,1198540
837,16,37,13,0,Optimal,1198540
838,16,38,13,0,Optimal,1198540
839,16,39,13,0,Optimal,1198540
840,16,40,13,0,Optimal,1198540
841,16,41,13,0,Optimal,1198540
842,16,42,13,0,Optimal,1198540
843,16,43,13,0,Optimal,1198540
844,16,44,13,0,Optimal,1198540
845,16,45,13,0,Optimal,1198540
846,16,46,13,0,Optimal,1198540
847,16,47,13,0,Optimal,1198540
848,16,48,13,0,Optimal,1198540
849,16,49,13,0,Optimal,1198540
850,17,0,13,0,Optimal,1198540
851,17,1,13,0,Optimal,1198540
852,17,2,13,0,Optimal,1198540
853,17,3,13,0,Optimal,1198540
854,17,4,13,0,Optimal,1198540
855,17,5,13,0,Optimal,1198540
856,17,6,13,0,Optimal,1198540
857,17,7,13,0,Optimal,1198540
858,17,8,13,0,Optimal,1198540
859,17,9,13,0,Optimal,1198540
860,17,10,13,0,Optimal,1198540
861,17,11,13,0,Optimal,1198540
862,17,12,13,0,Optimal,1198540
863,17,13,13,0,Optimal,1198540
864,17,14,13,0,Optimal,1198540
865,17,15,13,0,Optimal,1198540
866,17,16,13,0,Optimal,1198540
867,17,17,13,0,Optimal,1198540
868,17,18,13,0,Optimal,1198540
869,17,19,13,0,Optimal,1198540
870,17,20,13,0,Optimal,1198540
871,17,21,13,0,Optimal,1198540
872,17,22,13,0,Optimal,1198540
873,17,23,13,0,Optimal,1198540
874,17,24,13,0,Optimal,1198540
875,17,25,13,0,Optimal,1198540
876,17,26,13,0,Optimal,1198540
877,17,27,13,0,Optimal,1198540
878,17,28,13,0,Optimal,1198540
879,17,29,13,0,Optimal,1198540
880,17,30,13,0,Optimal,1198540
881,17,31,13,0,Optimal,1198540
882,17,32,13,0,Optimal,1198540
883,17,33,13,0,Optimal,1198540
884,17,34,13,0,Optimal,1198540
885,17,35,13,0,Optimal,1198540
886,17,36,13,0,Optimal,1198540
887,17,37,13,0,Optimal,1198540
888,17,38,13,0,Optimal,1198540
889,17,39,13,0,Optimal,1198540
890,17,40,13,0,Optimal,1198540
891,17,41,13,0,Optimal,1198540
892,17,42,13,0,Optimal,1198540
893,17,43,13,0,Optimal,1198540
894,17,44,13,0,Optimal,1198540
895,17,45,13,0,Optimal,1198540
896,17,46,13,0,Optimal,1198540
897,17,47,13,0,Optimal,1198540
898,17,48,13,0,Optimal,1198540
899,17,49,13,0,Optimal,1198540
900,18,0,13,0,Optimal,1198540
901,18,1,13,0,Optimal,1198540
902,18,2,13,0,Optimal,1198540
903,18,3,13,0,Optimal,1198540
904,18,4,13,0,Optimal,1198540
905,18,5,13,0,Optimal,1198540
906,18,6,13,0,Optimal,1198540
907,18,7,13,0,Optimal,1198540
908,18,8,13,0,Optimal,1198540
909,18,9,13,0,Optimal,1198540
910,18,10,13,0,Optimal,1198540
911,18,11,13,0,Optimal,1198540
912,18,12,13,0,Optimal,1198540
913,18,13,13,0,Optimal,1198540
914,18,14,13,0,Optimal,1198540
915,18,15,13,0,Optimal,1198540
916,18,16,13,0,Optimal,1198540
917,18,17,13,0,Optimal,1198540
918,18,18,13,0,Optimal,1198540
919,18,19,13,0,Optimal,1198540
920,18,20,13,0,Optimal,1198540
921,18,21,13,0,Optimal,1198540
922,18,22,13,0,Optimal,1198540
923,18,23,13,0,Optimal,1198540
924,18,24,13,0,Optimal,1198540
925,18,25,13,0,Optimal,1198540
926,18,26,13,0,Optimal,1198540
927,18,27,13,0,Optimal,1198540
928,18,28,13,0,Optimal,1198540
929,18,29,13,0,Optimal,1198540
930,18,30,13,0,Optimal,1198540
931,18,31,13,0,Optimal,1198540
932,18,32,13,0,Optimal,1198540
933,18,33,13,0,Optimal,1198540
934,18,34,13,0,Optimal,1198540
935,18,35,13,0,Optimal,1198540
936,18,36,13,0,Optimal,1198540
937,18,37,13,0,Optimal,1198540
938,18,38,13,0,Optimal,1198540
939,18,39,13,0,Optimal,1198540
940,18,40,13,0,Optimal,1198540
941,18,41,13,0,Optimal,1198540
942,18,42,13,0,Optimal,1198540
943,18,43,13,0,Optimal,1198540
944,18,44,13,0,Optimal,1198540
945,18,45,13,0,Optimal,1198540
946,18,46,13,0,Optimal,1198540
947,18,47,13,0,Optimal,1198540
948,18,48,13,0,Optimal,1198540
949,18,49,13,0,Optimal,1198540
950,19,0,13,0,Optimal,1198540
951,19,1,13,0,Optimal,1198540
952,19,2,13,0,Optimal,1198540
953,19,3,13,0,Optimal,1198540
954,19,4,13,0,Optimal,1198540
955,19,5,13,0,Optimal,1198540
956,19,6,13,0,Optimal,1198540
957,19,7,13,0,Optimal,1198540
958,19,8,13,0,Optimal,1198540
959,19,9,13,0,Optimal,1198540
960,19,10,13,0,Optimal,1198540
961,19,11,13,0,Optimal,1198540
962,19,12,13,0,Optimal,1198540
963,19,13,13,0,Optimal,1198540
964,19,14,13,0,Optimal,1198540
965,19,15,13,0,Optimal,1198540
966,19,16,13,0,Optimal,1198540
967,19,17,13,0,Optimal,1198540
968,19,18,13,0,Optimal,1198540
969,19,19,13,0,Optimal,1198540
970,19,20,13,0,Optimal,1198540
971,19,21,13,0,Optimal,1198540
972,19,22,13,0,Optimal,1198540
973,19,23,13,0,Optimal,1198540
974,19,24,13,0,Optimal,1198540
975,19,25,13,0,Optimal,1198540
976,19,26,13,0,Optimal,1198540
977,19,27,13,0,Optimal,1198540
978,19,28,13,0,Optimal,1198540
979,19,29,13,0,Optimal,1198540
980,19,30,13,0,Optimal,1198540
981,19,31,13,0,Optimal,1198540
982,19,32,13,0,Optimal,1198540
983,19,33,13,0,Optimal,1198540
984,19,34,13,0,Optimal,1198540
985,19,35,13,0,Optimal,1198540
986,19,36,13,0,Optimal,1198540
987,19,37,13,0,Optimal,1198540
988,19,38,13,0,Optimal,1198540
989,19,39,13,0,Optimal,1198540
990,19,40,13,0,Optimal,1198540
991,19,41,13,0,Optimal,1198540
992,19,42,13,0,Optimal,1198540
993,19,43,13,0,Optimal,1198540
994,19,44,13,0,Optimal,1198540
995,19,45,13,0,Optimal,1198540
996,19,46,13,0,Optimal,1198540
997,19,47,13,0,Optimal,1198540
998,19,48,13,0,Optimal,1198540
999,19,49,13,0,Optimal,1198540
1000,20,0,13,0,Optimal,1198540
1001,20,1,13,0,Optimal,1198540
1002,20,2,13,0,Optimal,1198540
1003,20,3,13,0,Optimal,1198540
1004,20,4,13,0,Optimal,1198540
1005,20,5,13,0,Optimal,1198540
1006,20,6,13,0,Optimal,1198540
1007,20,7,13,0,Optimal,1198540
1008,20,8,13,0,Optimal,1198540
1009,20,9,13,0,Optimal,1198540
1010,20,10,13,0,Optimal,1198540
1011,20,11,13,0,Optimal,1198540
1012,20,12,13,0,Optimal,1198540
1013,20,13,13,0,Optimal,1198540
1014,20,14,13,0,Optimal,1198540
1015,20,15,13,0,Optimal,1198540
1016,20,16,13,0,Optimal,1198540
1017,20,17,13,0,Optimal,1198540
1018,20,18,13,0,Optimal,1198540
1019,20,19,13,0,Optimal,1198540
1020,20,20,13,0,Optimal,1198540
1021,20,21,13,0,Optimal,1198540
1022,20,22,13,0,Optimal,1198540
1023,20,23,13,0,Optimal,1198540
1024,20,24,13,0,Optimal,1198540
1025,20,25,13,0,Optimal,1198540
1026,20,26,13,0,Optimal,1198540
1027,20,27,13,0,Optimal,1198540
1028,20,28,13,0,Optimal,1198540
1029,20,29,13,0,Optimal,1198540
1030,20,30,13,0,Optimal,1198540
1031,20,31,13,0,Optimal,1198540
1032,20,32,13,0,Optimal,1198540
1033,20,33,13,0,Optimal,1198540
1034,20,34,13,0,Optimal,1198540
1035,20,35,13,0,Optimal,1198540
1036,20,36,13,0,Optimal,1198540
1037,20,37,13,0,Optimal,1198540
1038,20,38,13,0,Optimal,1198540
1039,20,39,13,0,Optimal,1198540
1040,20,40,13,0,Optimal,1198540
1041,20,41,13,0,Optimal,1198540
1042,20,42,13,0,Optimal,1198540
1043,20,43,13,0,Optimal,1198540
1044,20,44,13,0,Optimal,1198540
1045,20,45,13,0,Optimal,1198540
1046,20,46,13,0,Optimal,1198540
1047,20,47,13,0,Optimal,1198540
1048,20,48,13,0,Optimal,1198540
1049,20,49,13,0,Optimal,1198540
1050,21,0,13,0,Optimal,1198540
1051,21,1,13,0,Optimal,1198540
1052,21,2,13,0,Optimal,1198540
1053,21,3,13,0,Optimal,1198540
1054,21,4,13,0,Optimal,1198540
1055,21,5,13,0,Optimal,1198540
1056,21,6,13,0,Optimal,1198540
1057,21,7,13,0,Optimal,1198540
1058,21,8,13,0,Optimal,1198540
1059,21,9,13,0,Optimal,1198540
1060,21,10,13,0,Optimal,1198540
1061,21,11,13,0,Optimal,1198540
1062,21,12,13,0,Optimal,1198540
1063,21,13,13,0,Optimal,1198540
1064,21,14,13,0,Optimal,1198540
1065,21,15,13,0,Optimal,1198540
1066,21,16,13,0,Optimal,1198540
1067,21,17,13,0,Optimal,1198540
1068,21,18,13,0,Optimal,1198540
1069,21,19,13,0,Optimal,1198540
1070,21,20,13,0,Optimal,1198540
1071,21,21,13,0,Optimal,1198540
1072,21,22,13,0,Optimal,1198540
1073,21,23,13,0,Optimal,1198540
1074,21,24,13,0,Optimal,1198540
1075,21,25,13,0,Optimal,1198540
1076,21,26,13,0,Optimal,1198540
1077,21,27,13,0,Optimal,1198540
1078,21,28,13,0,Optimal,1198540
1079,21,29,13,0,Optimal,1198540
1080,21,30,13,0,Optimal,1198540
1081,21,31,13,0,Optimal,1198540
1082,21,32,13,0,Optimal,1198540
1083,21,33,13,0,Optimal,1198540
1084,21,34,13,0,Optimal,1198540
1085,21,35,13,0,Optimal,1198540
1086,21,36,13,0,Optimal,1198540
1087,21,37,13,0,Optimal,1198540
1088,21,38,13,0,Optimal,1198540
1089,21,39,13,0,Optimal,1198540
1090,21,40,13,0,Optimal,1198540
1091,21,41,13,0,Optimal,1198540
1092,21,42,13,0,Optimal,1198540
1093,21,43,13,0,Optimal,1198540
1094,21,44,13,0,Optimal,1198540
1095,21,45,13,0,Optimal,1198540
1096,21,46,13,0,Optimal,1198540
1097,21,47,13,0,Optimal,1198540
1098,21,48,13,0,Optimal,1198540
1099,21,49,13,0,Optimal,1198540
1100,22,0,13,0,Optimal,1198540
1101,22,1,13,0,Optimal,1198540
1102,22,2,13,0,Optimal,1198540
1103,22,3,13,0,Optimal,1198540
1104,22,4,13,0,Optimal,1198540
1105,22,5,13,0,Optimal,1198540
1106,22,6,13,0,Optimal,1198540
1107,22,7,13,0,Optimal,1198540
1108,22,8,13,0,Optimal,1198540
1109,22,9,13,0,Optimal,1198540
1110,22,10,13,0,Optimal,1198540
1111,22,11,13,0,Optimal,1198540
1112,22,12,13,0,Optimal,1198540
1113,22,13,13,0,Optimal,1198540
1114,22,14,13,0,Optimal,1198540
1115,22,15,13,0,Optimal,1198540
1116,22,16,13,0,Optimal,1198540
1117,22,17,13,0,Optimal,1198540
1118,22,18,13,0,Optimal,1198540
1119,22,19,13,0,Optimal,1198540
1120,22,20,13,0,Optimal,1198540
1121,22,21,13,0,Optimal,1198540
1122,22,22,13,0,Optimal,1198540
1123,22,23,13,0,Optimal,1198540
1124,22,24,13,0,Optimal,1198540
1125,22,25,13,0,Optimal,1198540
1126,22,26,13,0,Optimal,1198540
1127,22,27,13,0,Optimal,1198540
1128,22,28,13,0,Optimal,1198540
1129,22,29,13,0,Optimal,1198540
1130,22,30,13,0,Optimal,1198540
1131,22,31,13,0,Optimal,1198540
1132,22,32,13,0,Optimal,1198540
1133,22,33,13,0,Optimal,1198540
1134,22,34,13,0,Optimal,1198540
1135,22,35,13,0,Optimal,1198540
1136,22,36,13,0,Optimal,1198540
1137,22,37,13,0,Optimal,1198540
1138,22,38,13,0,Optimal,1198540
1139,22,39,13,0,Optimal,1198540
1140,22,40,13,0,Optimal,1198540
1141,22,41,13,0,Optimal,1198540
1142,22,42,13,0,Optimal,1198540
1143,22,43,13,0,Optimal,1198540
1144,22,44,13,0,Optimal,1198540
1145,22,45,13,0,Optimal,1198540
1146,22,46,13,0,Optimal,1198540
1147,22,47,13,0,Optimal,1198540
1148,22,48,13,0,Optimal,1198540
1149,22,49,13,0,Optimal,1198540
1150,23,0,13,0,Optimal,1198540
1151,23,1,13,0,Optimal,1198540
1152,23,2,13,0,Optimal,1198540
1153,23,3,13,0,Optimal,1198540
1154,23,4,13,0,Optimal,1198540
1155,23,5,13,0,Optimal,1198540
1156,23,6,13,0,Optimal,1198540
1157,23,7,13,0,Optimal,1198540
1158,23,8,13,0,Optimal,1198540
1159,23,9,13,0,Optimal,1198540
1160,23,10,13,0,Optimal,1198540
1161,23,11,13,0,Optimal,1198540
1162,23,12,13,0,Optimal,1198540
1163,23,13,13,0,Optimal,1198540
1164,23,14,13,0,Optimal,1198540
1165,23,15,13,0,Optimal,1198540
1166,23,16,13,0,Optimal,1198540
1167,23,17,13,0,Optimal,1198540
1168,23,18,13,0,Optimal,1198540
1169,23,19,13,0,Optimal,1198540
1170,23,20,13,0,Optimal,1198540
1171,23,21,13,0,Optimal,1198540
1172,23,22,13,0,Optimal,1198540
1173,23,23,13,0,Optimal,1198540
1174,23,24,13,0,Optimal,1198540
1175,23,25,13,0,Optimal,1198540
1176,23,26,13,0,Optimal,1198540
1177,23,27,13,0,Optimal,1198540
1178,23,28,13,0,Optimal,1198540
1179,23,29,13,0,Optimal,1198540
1180,23,30,13,0,Optimal,1198540
1181,23,31,13,0,Optimal,1198540
1182,23,32,13,0,Optimal,1198540
1183,23,33,13,0,Optimal,1198540
1184,23,34,13,0,Optimal,1198540
1185,23,35,13,0,Optimal,1198540
1186,23,36,13,0,Optimal,1198540
1187,23,37,13,0,Optimal,1198540
1188,23,38,13,0,Optimal,1198540
1189,23,39,13,0,Optimal,1198540
1190,23,40,13,0,Optimal,1198540
1191,23,41,13,0,Optimal,1198540
1192,23,42,13,0,Optimal,1198540
1193,23,43,13,0,Optimal,1198540
1194,23,44,13,0,Optimal,1198540
1195,23,45,13,0,Optimal,1198540
1196,23,46,13,0,Optimal,1198540
1197,23,47,13,0,Optimal,1198540
1198,23,48,13,0,Optimal,1198540
1199,23,49,13,0,Optimal,1198540
1200,24,0,13,0,Optimal,1198540
1201,24,1,13,0,Optimal,1198540
1202,24,2,13,0,Optimal,1198540
1203,24,3,13,0,Optimal,1198540
1204,24,4,13,0,Optimal,1198540
1205,24,5,13,0,Optimal,1198540
1206,24,6,13,0,Optimal,1198540
1207,24,7,13,0,Optimal,1198540
1208,24,8,13,0,Optimal,1198540
1209,24,9,13,0,Optimal,1198540
1210,24,10,13,0,Optimal,1198540
1211,24,11,13,0,Optimal,1198540
1212,24,12,13,0,Optimal,1198540
1213,24,13,13,0,Optimal,1198540
1214,24,14,13,0,Optimal,1198540
1215,24,15,13,0,Optimal,1198540
1216,24,16,13,0,Optimal,1198540
1217,24,17,13,0,Optimal,1198540
1218,24,18,13,0,Optimal,1198540
1219,24,19,13,0,Optimal,1198540
1220,24,20,13,0,Optimal,1198540
1221,24,21,13,0,Optimal,1198540
1222,24,22,13,0,Optimal,1198540
1223,24,23,13,0,Optimal,1198540
1224,24,24,13,0,Optimal,1198540
1225,24,25,13,0,Optimal,1198540
1226,24,26,13,0,Optimal,1198540
1227,24,27,13,0,Optimal,1198540
1228,24,28,13,0,Optimal,1198540
1229,24,29,13,0,Optimal,1198540
1230,24,30,13,0,Optimal,1198540
1231,24,31,13,0,Optimal,1198540
1232,24,32,13,0,Optimal,1198540
1233,24,33,13,0,Optimal,1198540
1234,24,34,13,0,Optimal,1198540
1235,24,35,13,0,Optimal,1198540
1236,24,36,13,0,Optimal,1198540
1237,24,37,13,0,Optimal,1198540
1238,24,38,13,0,Optimal,1198540
1239,24,39,13,0,Optimal,1198540
1240,24,40,13,0,Optimal,1198540
1241,24,41,13,0,Optimal,1198540
1242,24,42,13,0,Optimal,1198540
1243,24,43,13,0,Optimal,1198540
1244,24,44,13,0,Optimal,1198540
1245,24,45,13,0,Optimal,1198540
1246,24,46,13,0,Optimal,1198540
1247,24,47,13,0,Optimal,1198540
1248,24,48,13,0,Optimal,1198540
1249,24,49,13,0,Optimal,1198540
1250,25,0,13,0,Optimal,1198540
1251,25,1,13,0,Optimal,1198540
1252,25,2,13,0,Optimal,1198540
1253,25,3,13,0,Optimal,1198540
1254,25,4,13,0,Optimal,1198540
1255,25,5,13,0,Optimal,1198540
1256,25,6,13,0,Optimal,1198540
1257,25,7,13,0,Optimal,1198540
1258,25,8,13,0,Optimal,1198540
1259,25,9,13,0,Optimal,1198540
1260,25,10,13,0,Optimal,1198540
1261,25,11,13,0,Optimal,1198540
1262,25,12,13,0,Optimal,1198540
1263,25,13,13,0,Optimal,1198540
1264,25,14,13,0,Optimal,1198540
1265,25,15,13,0,Optimal,1198540
1266,25,16,13,0,Optimal,1198540
1267,25,17,13,0,Optimal,1198540
1268,25,18,13,0,Optimal,1198540
1269,25,19,13,0,Optimal,1198540
1270,25,20,13,0,Optimal,1198540
1271,25,21,13,0,Optimal,1198540
1272,25,22,13,0,Optimal,1198540
1273,25,23,13,0,Optimal,1198540
1274,25,24,13,0,Optimal,1198540
1275,25,25,13,0,Optimal,1198540
1276,25,26,13,0,Optimal,1198540
1277,25,27,13,0,Optimal,1198540
1278,25,28,13,0,Optimal,1198540
1279,25,29,13,0,Optimal,1198540
1280,25,30,13,0,Optimal,1198540
1281,25,31,13,0,Optimal,1198540
1282,25,32,13,0,Optimal,1198540
1283,25,33,13,0,Optimal,1198540
1284,25,34,13,0,Optimal,1198540
1285,25,35,13,0,Optimal,1198540
1286,25,36,13,0,Optimal,1198540
1287,25,37,13,0,Optimal,1198540
1288,25,38,13,0,Optimal,1198540
1289,25,39,13,0,Optimal,1198540
1290,25,40,13,0,Optimal,1198540
1291,25,41,13,0,Optimal,1198540
1292,25,42,13,0,Optimal,1198540
1293,25,43,13,0,Optimal,1198540
1294,25,44,13,0,Optimal,1198540
1295,25,45,13,0,Optimal,1198540
1296,25,46,13,0,Optimal,1198540
1297,25,47,13,0,Optimal,1198540
1298,25,48,13,0,Optimal,1198540
1299,25,49,13,0,Optimal,1198540
1300,26,0,13,0,Optimal,1198540
1301,26,1,13,0,Optimal,1198540
1302,26,2,13,0,Optimal,1198540
1303,26,3,13,0,Optimal,1198540
1304,26,4,13,0,Optimal,1198540
1305,26,5,13,0,Optimal,1198540
1306,26,6,13,0,Optimal,1198540
1307,26,7,13,0,Optimal,1198540
1308,26,8,13,0,Optimal,1198540
1309,26,9,13,0,Optimal,1198540
1310,26,10,13,0,Optimal,1198540
1311,26,11,13,0,Optimal,1198540
1312,26,12,13,0,Optimal,1198540
1313,26,13,13,0,Optimal,1198540
1314,26,14,13,0,Optimal,1198540
1315,26,15,13,0,Optimal,1198540
1316,26,16,13,0,Optimal,1198540
1317,26,17,13,0,Optimal,1198540
1318,26,18,13,0,Optimal,1198540
1319,26,19,13,0,Optimal,1198540
1320,26,20,13,0,Optimal,1198540
1321,26,21,13,0,Optimal,1198540
1322,26,22,13,0,Optimal,1198540
1323,26,23,13,0,Optimal,1198540
1324,26,24,13,0,Optimal,1198540
1325,26,25,13,0,Optimal,1198540
1326,26,26,13,0,Optimal,1198540
1327,26,27,13,0,Optimal,1198540
1328,26,28,13,0,Optimal,1198540
1329,26,29,13,0,Optimal,1198540
1330,26,30,13,0,Optimal,1198540
1331,26,31,13,0,Optimal,1198540
1332,26,32,13,0,Optimal,1198540
1333,26,33,13,0,Optimal,1198540
1334,26,34,13,0,Optimal,1198540
1335,26,35,13,0,Optimal,1198540
1336,26,36,13,0,Optimal,1198540
1337,26,37,13,0,Optimal,1198540
1338,26,38,13,0,Optimal,1198540
1339,26,39,13,0,Optimal,1198540
1340,26,40,13,0,Optimal,1198540
1341,26,41,13,0,Optimal,1198540
1342,26,42,13,0,Optimal,1198540
1343,26,43,13,0,Optimal,1198540
1344,26,44,13,0,Optimal,1198540
1345,26,45,13,0,Optimal,1198540
1346,26,46,13,0,Optimal,1198540
1347,26,47,13,0,Optimal,1198540
1348,26,48,13,0,Optimal,1198540
1349,26,49,13,0,Optimal,1198540
1350,27,0,13,0,Optimal,1198540
1351,27,1,13,0,Optimal,1198540
1352,27,2,13,0,Optimal,1198540
1353,27,3,13,0,Optimal,1198540
1354,27,4,13,0,Optimal,1198540
1355,27,5,13,0,Optimal,1198540
1356,27,6,13,0,Optimal,1198540
1357,27,7,13,0,Optimal,1198540
1358,27,8,13,0,Optimal,1198540
1359,27,9,13,0,Optimal,1198540
1360,27,10,13,0,Optimal,1198540
1361,27,11,13,0,Optimal,1198540
1362,27,12,13,0,Optimal,1198540
1363,27,13,13,0,Optimal,1198540
1364,27,14,13,0,Optimal,1198540
1365,27,15,13,0,Optimal,1198540
1366,27,16,13,0,Optimal,1198540
1367,27,17,13,0,Optimal,1198540
1368,27,18,13,0,Optimal,1198540
1369,27,19,13,0,Optimal,1198540
1370,27,20,13,0,Optimal,1198540
1371,27,21,13,0,Optimal,1198540
1372,27,22,13,0,Optimal,1198540
1373,27,23,13,0,Optimal,1198540
1374,27,24,13,0,Optimal,1198540
1375,27,25,13,0,Optimal,1198540
1376,27,26,13,0,Optimal,1198540
1377,27,27,13,0,Optimal,1198540
1378,27,28,13,0,Optimal,1198540
1379,27,29,13,0,Optimal,1198540
1380,27,30,13,0,Optimal,1198540
1381,27,31,13,0,Optimal,1198540
1382,27,32,13,0,Optimal,1198540
1383,27,33,13,0,Optimal,1198540
1384,27,34,13,0,Optimal,1198540
1385,27,35,13,0,Optimal,1198540
1386,27,36,13,0,Optimal,1198540
1387,27,37,13,0,Optimal,1198540
1388,27,38,13,0,Optimal,1198540
1389,27,39,13,0,Optimal,1198540
1390,27,40,13,0,Optimal,1198540
1391,27,41,13,0,Optimal,1198540
1392,27,42,13,0,Optimal,1198540
1393,27,43,13,0,Optimal,1198540
1394,27,44,13,0,Optimal,1198540
1395,27,45,13,0,Optimal,1198540
1396,27,46,13,0,Optimal,1198540
1397,27,47,13,0,Optimal,1198540
1398,27,48,13,0,Optimal,1198540
1399,27,49,13,0,Optimal,1198540
1400,28,0,13,0,Optimal,1198540
1401,28,1,13,0,Optimal,1198540
1402,28,2,13,0,Optimal,1198540
1403,28,3,13,0,Optimal,1198540
1404,28,4,13,0,Optimal,1198540
1405,28,5,13,0,Optimal,1198540
1406,28,6,13,0,Optimal,1198540
1407,28,7,13,0,Optimal,1198540
1408,28,8,13,0,Optimal,1198540
1409,28,9,13,0,Optimal,1198540
1410,28,10,13,0,Optimal,1198540
1411,28,11,13,0,Optimal,1198540
1412,28,12,13,0,Optimal,1198540
1413,28,13,13,0,Optimal,1198540
1414,28,14,13,0,Optimal,1198540
1415,28,15,13,0,Optimal,1198540
1416,28,16,13,0,Optimal,1198540
1417,28,17,13,0,Optimal,1198540
1418,28,18,13,0,Optimal,1198540
1419,28,19,13,0,Optimal,1198540
1420,28,20,13,0,Optimal,1198540
1421,28,21,13,0,Optimal,1198540
1422,28,22,13,0,Optimal,1198540
1423,28,23,13,0,Optimal,1198540
1424,28,24,13,0,Optimal,1198540
1425,28,25,13,0,Optimal,1198540
1426,28,26,13,0,Optimal,1198540
1427,28,27,13,0,Optimal,1198540
1428,28,28,13,0,Optimal,1198540
1429,28,29,13,0,Optimal,1198540
